2025-09-16 14:22:39.254 | ERROR    | src.api.intelligent_orchestrator:classify_query:136 | OpenAI classification failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:22:39.255 | ERROR    | src.api.main:get_trading_signals:639 | ❌ Trading signals API error for TSLA: max() arg is an empty sequence
2025-09-16 14:23:37.704 | ERROR    | src.api.intelligent_orchestrator:extract_stock_symbol:185 | OpenAI symbol extraction failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:23:38.387 | ERROR    | src.api.intelligent_orchestrator:classify_query:136 | OpenAI classification failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:23:38.387 | ERROR    | src.api.main:get_trading_signals:639 | ❌ Trading signals API error for TSLA: max() arg is an empty sequence
2025-09-16 14:24:38.147 | ERROR    | src.api.intelligent_orchestrator:extract_stock_symbol:185 | OpenAI symbol extraction failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:24:44.372 | ERROR    | src.api.intelligent_orchestrator:classify_query:136 | OpenAI classification failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:24:44.373 | ERROR    | src.api.main:get_trading_signals:639 | ❌ Trading signals API error for TSLA: max() arg is an empty sequence
2025-09-16 14:25:37.436 | ERROR    | src.api.intelligent_orchestrator:extract_stock_symbol:185 | OpenAI symbol extraction failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:25:44.297 | ERROR    | src.api.intelligent_orchestrator:classify_query:136 | OpenAI classification failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:25:44.298 | ERROR    | src.api.main:get_trading_signals:639 | ❌ Trading signals API error for TSLA: max() arg is an empty sequence
2025-09-16 14:26:38.322 | ERROR    | src.api.intelligent_orchestrator:extract_stock_symbol:185 | OpenAI symbol extraction failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:26:40.907 | ERROR    | src.api.intelligent_orchestrator:classify_query:136 | OpenAI classification failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:26:40.908 | ERROR    | src.api.main:get_trading_signals:639 | ❌ Trading signals API error for TSLA: max() arg is an empty sequence
2025-09-16 14:27:37.444 | ERROR    | src.api.intelligent_orchestrator:extract_stock_symbol:185 | OpenAI symbol extraction failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:27:39.170 | ERROR    | src.api.intelligent_orchestrator:classify_query:136 | OpenAI classification failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:27:39.170 | ERROR    | src.api.main:get_trading_signals:639 | ❌ Trading signals API error for TSLA: max() arg is an empty sequence
2025-09-16 14:28:37.748 | ERROR    | src.api.intelligent_orchestrator:extract_stock_symbol:185 | OpenAI symbol extraction failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:28:38.504 | ERROR    | src.api.intelligent_orchestrator:classify_query:136 | OpenAI classification failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:28:38.504 | ERROR    | src.api.main:get_trading_signals:639 | ❌ Trading signals API error for TSLA: max() arg is an empty sequence
2025-09-16 14:29:38.976 | ERROR    | src.api.intelligent_orchestrator:extract_stock_symbol:185 | OpenAI symbol extraction failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:29:40.199 | ERROR    | src.api.intelligent_orchestrator:classify_query:136 | OpenAI classification failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:29:40.200 | ERROR    | src.api.main:get_trading_signals:639 | ❌ Trading signals API error for TSLA: max() arg is an empty sequence
2025-09-16 14:30:38.282 | ERROR    | src.api.intelligent_orchestrator:extract_stock_symbol:185 | OpenAI symbol extraction failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:30:39.196 | ERROR    | src.api.intelligent_orchestrator:classify_query:136 | OpenAI classification failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:30:39.197 | ERROR    | src.api.main:get_trading_signals:639 | ❌ Trading signals API error for TSLA: max() arg is an empty sequence
2025-09-16 14:31:37.672 | ERROR    | src.api.intelligent_orchestrator:extract_stock_symbol:185 | OpenAI symbol extraction failed: object ChatCompletion can't be used in 'await' expression
2025-09-16 14:31:38.746 | ERROR    | src.api.intelligent_orchestrator:classify_query:136 | OpenAI classification failed: object ChatCompletion can't be used in 'await' expression
